  100125/6000000: episode: 147, duration: 4.360s, episode steps: 511, steps per second: 117, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.386 [0.000, 5.000],  loss: 0.006741, mae: 0.023042, mean_q: 0.034233, mean_eps: 0.979987
 1297956/6000000: episode: 1856, duration: 20.461s, episode steps: 933, steps per second:  46, episode reward: 15.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.580 [0.000, 5.000],  loss: 0.011629, mae: 2.013142, mean_q: 2.426354, mean_eps: 0.740502
 1298724/6000000: episode: 1857, duration: 18.229s, episode steps: 768, steps per second:  42, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.011505, mae: 2.021623, mean_q: 2.435501, mean_eps: 0.740332
 1300217/6000000: episode: 1858, duration: 31.994s, episode steps: 1493, steps per second:  47, episode reward: 35.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.449 [0.000, 5.000],  loss: 0.011848, mae: 2.001185, mean_q: 2.411111, mean_eps: 0.740106
 1300638/6000000: episode: 1859, duration: 8.973s, episode steps: 421, steps per second:  47, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.390 [0.000, 5.000],  loss: 0.011324, mae: 2.021490, mean_q: 2.435565, mean_eps: 0.739914
 1301633/6000000: episode: 1860, duration: 23.069s, episode steps: 995, steps per second:  43, episode reward: 13.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.590 [0.000, 5.000],  loss: 0.009928, mae: 2.013129, mean_q: 2.426925, mean_eps: 0.739773
 1302322/6000000: episode: 1861, duration: 15.468s, episode steps: 689, steps per second:  45, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.145 [0.000, 5.000],  loss: 0.012269, mae: 2.023130, mean_q: 2.437531, mean_eps: 0.739604
 1303107/6000000: episode: 1862, duration: 17.105s, episode steps: 785, steps per second:  46, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.410 [0.000, 5.000],  loss: 0.010466, mae: 2.006222, mean_q: 2.418421, mean_eps: 0.739457
 1303989/6000000: episode: 1863, duration: 19.646s, episode steps: 882, steps per second:  45, episode reward: 17.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.526 [0.000, 5.000],  loss: 0.011882, mae: 2.020004, mean_q: 2.433609, mean_eps: 0.739290
 1305051/6000000: episode: 1864, duration: 23.289s, episode steps: 1062, steps per second:  46, episode reward: 22.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.010539, mae: 2.021972, mean_q: 2.436064, mean_eps: 0.739096
 1305456/6000000: episode: 1865, duration: 8.213s, episode steps: 405, steps per second:  49, episode reward:  5.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.709 [0.000, 5.000],  loss: 0.011602, mae: 2.019241, mean_q: 2.433619, mean_eps: 0.738950
 1306457/6000000: episode: 1866, duration: 21.143s, episode steps: 1001, steps per second:  47, episode reward: 21.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.408 [0.000, 5.000],  loss: 0.012077, mae: 2.011461, mean_q: 2.425899, mean_eps: 0.738809
 1307161/6000000: episode: 1867, duration: 15.299s, episode steps: 704, steps per second:  46, episode reward: 14.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.520 [0.000, 5.000],  loss: 0.013628, mae: 2.013091, mean_q: 2.425697, mean_eps: 0.738638
 1308299/6000000: episode: 1868, duration: 24.314s, episode steps: 1138, steps per second:  47, episode reward: 20.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.359 [0.000, 5.000],  loss: 0.010591, mae: 2.022928, mean_q: 2.436730, mean_eps: 0.738454
 1308809/6000000: episode: 1869, duration: 11.457s, episode steps: 510, steps per second:  45, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.567 [0.000, 5.000],  loss: 0.013190, mae: 2.012360, mean_q: 2.424464, mean_eps: 0.738289
 1309581/6000000: episode: 1870, duration: 17.586s, episode steps: 772, steps per second:  44, episode reward: 13.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.010349, mae: 2.003494, mean_q: 2.413856, mean_eps: 0.738161
 1310428/6000000: episode: 1871, duration: 18.602s, episode steps: 847, steps per second:  46, episode reward: 17.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.502 [0.000, 5.000],  loss: 0.011138, mae: 2.027095, mean_q: 2.442659, mean_eps: 0.737999
 1311051/6000000: episode: 1872, duration: 13.880s, episode steps: 623, steps per second:  45, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.358 [0.000, 5.000],  loss: 0.013709, mae: 2.000893, mean_q: 2.411109, mean_eps: 0.737852
 1311836/6000000: episode: 1873, duration: 18.217s, episode steps: 785, steps per second:  43, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.012843, mae: 2.013760, mean_q: 2.426813, mean_eps: 0.737712
 1312280/6000000: episode: 1874, duration: 11.497s, episode steps: 444, steps per second:  39, episode reward:  7.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.329 [0.000, 5.000],  loss: 0.011614, mae: 2.014326, mean_q: 2.428748, mean_eps: 0.737589
 1313140/6000000: episode: 1875, duration: 20.010s, episode steps: 860, steps per second:  43, episode reward: 13.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.364 [0.000, 5.000],  loss: 0.011158, mae: 2.012622, mean_q: 2.424439, mean_eps: 0.737458
 1313943/6000000: episode: 1876, duration: 16.843s, episode steps: 803, steps per second:  48, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.604 [0.000, 5.000],  loss: 0.012873, mae: 2.025100, mean_q: 2.439957, mean_eps: 0.737292
 1314520/6000000: episode: 1877, duration: 12.259s, episode steps: 577, steps per second:  47, episode reward: 10.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.416 [0.000, 5.000],  loss: 0.013175, mae: 2.027889, mean_q: 2.443586, mean_eps: 0.737154
 1315105/6000000: episode: 1878, duration: 13.322s, episode steps: 585, steps per second:  44, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.436 [0.000, 5.000],  loss: 0.012252, mae: 2.038135, mean_q: 2.455625, mean_eps: 0.737038
 1315577/6000000: episode: 1879, duration: 10.336s, episode steps: 472, steps per second:  46, episode reward:  9.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.604 [0.000, 5.000],  loss: 0.010270, mae: 2.017150, mean_q: 2.429805, mean_eps: 0.736932
 1316106/6000000: episode: 1880, duration: 10.899s, episode steps: 529, steps per second:  49, episode reward:  8.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.096 [0.000, 5.000],  loss: 0.009236, mae: 2.026863, mean_q: 2.442236, mean_eps: 0.736832
 1317264/6000000: episode: 1881, duration: 25.517s, episode steps: 1158, steps per second:  45, episode reward: 20.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.522 [0.000, 5.000],  loss: 0.011410, mae: 2.032887, mean_q: 2.448552, mean_eps: 0.736663
 1317605/6000000: episode: 1882, duration: 8.551s, episode steps: 341, steps per second:  40, episode reward:  5.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.540 [0.000, 5.000],  loss: 0.010515, mae: 2.016034, mean_q: 2.427470, mean_eps: 0.736513
 1318263/6000000: episode: 1883, duration: 15.967s, episode steps: 658, steps per second:  41, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.552 [0.000, 5.000],  loss: 0.011144, mae: 2.042470, mean_q: 2.461105, mean_eps: 0.736413
 1318760/6000000: episode: 1884, duration: 10.882s, episode steps: 497, steps per second:  46, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.447 [0.000, 5.000],  loss: 0.011715, mae: 2.020981, mean_q: 2.436346, mean_eps: 0.736298
 1319621/6000000: episode: 1885, duration: 18.901s, episode steps: 861, steps per second:  46, episode reward: 19.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.436 [0.000, 5.000],  loss: 0.010291, mae: 2.023273, mean_q: 2.438426, mean_eps: 0.736162
 1320295/6000000: episode: 1886, duration: 14.827s, episode steps: 674, steps per second:  45, episode reward: 12.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.343 [0.000, 5.000],  loss: 0.011803, mae: 2.043309, mean_q: 2.461068, mean_eps: 0.736008
 1320836/6000000: episode: 1887, duration: 11.922s, episode steps: 541, steps per second:  45, episode reward: 10.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.656 [0.000, 5.000],  loss: 0.013269, mae: 2.065219, mean_q: 2.489212, mean_eps: 0.735887
 1321496/6000000: episode: 1888, duration: 13.731s, episode steps: 660, steps per second:  48, episode reward: 12.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.717 [0.000, 5.000],  loss: 0.011018, mae: 2.051708, mean_q: 2.471242, mean_eps: 0.735767
 1322483/6000000: episode: 1889, duration: 20.139s, episode steps: 987, steps per second:  49, episode reward: 18.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.438 [0.000, 5.000],  loss: 0.010603, mae: 2.064725, mean_q: 2.488151, mean_eps: 0.735602
 1323432/6000000: episode: 1890, duration: 20.024s, episode steps: 949, steps per second:  47, episode reward: 20.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.445 [0.000, 5.000],  loss: 0.010475, mae: 2.044884, mean_q: 2.464331, mean_eps: 0.735409
 1324493/6000000: episode: 1891, duration: 22.227s, episode steps: 1061, steps per second:  48, episode reward: 20.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.357 [0.000, 5.000],  loss: 0.010950, mae: 2.048130, mean_q: 2.468395, mean_eps: 0.735208
 1325031/6000000: episode: 1892, duration: 11.196s, episode steps: 538, steps per second:  48, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.355 [0.000, 5.000],  loss: 0.011312, mae: 2.035713, mean_q: 2.451718, mean_eps: 0.735048
 1325836/6000000: episode: 1893, duration: 17.384s, episode steps: 805, steps per second:  46, episode reward: 14.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.622 [0.000, 5.000],  loss: 0.012194, mae: 2.065579, mean_q: 2.488627, mean_eps: 0.734914
 1326761/6000000: episode: 1894, duration: 20.815s, episode steps: 925, steps per second:  44, episode reward: 14.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.599 [0.000, 5.000],  loss: 0.010959, mae: 2.059889, mean_q: 2.481879, mean_eps: 0.734740
 1327260/6000000: episode: 1895, duration: 11.514s, episode steps: 499, steps per second:  43, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.541 [0.000, 5.000],  loss: 0.010004, mae: 2.046844, mean_q: 2.465994, mean_eps: 0.734598
 1328183/6000000: episode: 1896, duration: 20.741s, episode steps: 923, steps per second:  45, episode reward: 20.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.283 [0.000, 5.000],  loss: 0.013372, mae: 2.049022, mean_q: 2.467904, mean_eps: 0.734456
 1328799/6000000: episode: 1897, duration: 14.534s, episode steps: 616, steps per second:  42, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.718 [0.000, 5.000],  loss: 0.010558, mae: 2.051387, mean_q: 2.471294, mean_eps: 0.734302
 1329769/6000000: episode: 1898, duration: 21.780s, episode steps: 970, steps per second:  45, episode reward: 22.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.508 [0.000, 5.000],  loss: 0.010429, mae: 2.040212, mean_q: 2.459893, mean_eps: 0.734143
 1331382/6000000: episode: 1899, duration: 36.156s, episode steps: 1613, steps per second:  45, episode reward: 32.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.635 [0.000, 5.000],  loss: 0.011721, mae: 2.038846, mean_q: 2.456208, mean_eps: 0.733885
 1331904/6000000: episode: 1900, duration: 11.392s, episode steps: 522, steps per second:  46, episode reward: 10.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.665 [0.000, 5.000],  loss: 0.010758, mae: 2.048049, mean_q: 2.467296, mean_eps: 0.733672
 1333250/6000000: episode: 1901, duration: 27.818s, episode steps: 1346, steps per second:  48, episode reward: 29.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.471 [0.000, 5.000],  loss: 0.011371, mae: 2.035439, mean_q: 2.451149, mean_eps: 0.733485
 1333676/6000000: episode: 1902, duration: 9.874s, episode steps: 426, steps per second:  43, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.728 [0.000, 5.000],  loss: 0.011866, mae: 2.043500, mean_q: 2.462368, mean_eps: 0.733308
 1334371/6000000: episode: 1903, duration: 16.202s, episode steps: 695, steps per second:  43, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.436 [0.000, 5.000],  loss: 0.010483, mae: 2.048811, mean_q: 2.470433, mean_eps: 0.733196
 1335269/6000000: episode: 1904, duration: 19.781s, episode steps: 898, steps per second:  45, episode reward: 27.000, mean reward:  0.030 [ 0.000,  1.000], mean action: 2.493 [0.000, 5.000],  loss: 0.011668, mae: 2.047291, mean_q: 2.467066, mean_eps: 0.733036
 1335651/6000000: episode: 1905, duration: 8.597s, episode steps: 382, steps per second:  44, episode reward:  6.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.484 [0.000, 5.000],  loss: 0.010714, mae: 2.060378, mean_q: 2.483709, mean_eps: 0.732908
 1336546/6000000: episode: 1906, duration: 20.365s, episode steps: 895, steps per second:  44, episode reward: 22.000, mean reward:  0.025 [ 0.000,  1.000], mean action: 2.390 [0.000, 5.000],  loss: 0.010634, mae: 2.054212, mean_q: 2.474731, mean_eps: 0.732780
 1337328/6000000: episode: 1907, duration: 17.346s, episode steps: 782, steps per second:  45, episode reward: 14.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.607 [0.000, 5.000],  loss: 0.011729, mae: 2.045602, mean_q: 2.464681, mean_eps: 0.732613
 1338250/6000000: episode: 1908, duration: 18.901s, episode steps: 922, steps per second:  49, episode reward: 17.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.591 [0.000, 5.000],  loss: 0.010796, mae: 2.056744, mean_q: 2.477037, mean_eps: 0.732442
 1339533/6000000: episode: 1909, duration: 26.968s, episode steps: 1283, steps per second:  48, episode reward: 28.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.452 [0.000, 5.000],  loss: 0.011464, mae: 2.054942, mean_q: 2.475097, mean_eps: 0.732222
 1340217/6000000: episode: 1910, duration: 14.810s, episode steps: 684, steps per second:  46, episode reward: 14.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.781 [0.000, 5.000],  loss: 0.013656, mae: 2.040176, mean_q: 2.457531, mean_eps: 0.732025
 1340876/6000000: episode: 1911, duration: 13.603s, episode steps: 659, steps per second:  48, episode reward: 15.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.010284, mae: 2.054718, mean_q: 2.475133, mean_eps: 0.731891
 1341450/6000000: episode: 1912, duration: 12.186s, episode steps: 574, steps per second:  47, episode reward:  9.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.570 [0.000, 5.000],  loss: 0.010051, mae: 2.039282, mean_q: 2.457794, mean_eps: 0.731768
 1342294/6000000: episode: 1913, duration: 17.624s, episode steps: 844, steps per second:  48, episode reward: 17.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.403 [0.000, 5.000],  loss: 0.011462, mae: 2.022877, mean_q: 2.437081, mean_eps: 0.731626
 1342912/6000000: episode: 1914, duration: 13.344s, episode steps: 618, steps per second:  46, episode reward: 12.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.426 [0.000, 5.000],  loss: 0.012106, mae: 2.037936, mean_q: 2.454664, mean_eps: 0.731480
 1343301/6000000: episode: 1915, duration: 8.697s, episode steps: 389, steps per second:  45, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.419 [0.000, 5.000],  loss: 0.012350, mae: 2.048035, mean_q: 2.467476, mean_eps: 0.731379
 1344038/6000000: episode: 1916, duration: 17.885s, episode steps: 737, steps per second:  41, episode reward: 14.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.010577, mae: 2.038454, mean_q: 2.454690, mean_eps: 0.731266
 1344643/6000000: episode: 1917, duration: 15.055s, episode steps: 605, steps per second:  40, episode reward: 12.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.405 [0.000, 5.000],  loss: 0.012741, mae: 2.027801, mean_q: 2.442846, mean_eps: 0.731132
 1345178/6000000: episode: 1918, duration: 13.818s, episode steps: 535, steps per second:  39, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.351 [0.000, 5.000],  loss: 0.011712, mae: 2.032444, mean_q: 2.447722, mean_eps: 0.731018
 1345683/6000000: episode: 1919, duration: 11.775s, episode steps: 505, steps per second:  43, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.487 [0.000, 5.000],  loss: 0.012360, mae: 2.037999, mean_q: 2.456227, mean_eps: 0.730914
 1346184/6000000: episode: 1920, duration: 11.296s, episode steps: 501, steps per second:  44, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.607 [0.000, 5.000],  loss: 0.012906, mae: 2.037634, mean_q: 2.453070, mean_eps: 0.730814
 1346990/6000000: episode: 1921, duration: 17.812s, episode steps: 806, steps per second:  45, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.437 [0.000, 5.000],  loss: 0.012444, mae: 2.044030, mean_q: 2.460512, mean_eps: 0.730683
 1347781/6000000: episode: 1922, duration: 17.030s, episode steps: 791, steps per second:  46, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.568 [0.000, 5.000],  loss: 0.011043, mae: 2.037879, mean_q: 2.455736, mean_eps: 0.730523
 1348463/6000000: episode: 1923, duration: 14.959s, episode steps: 682, steps per second:  46, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.484 [0.000, 5.000],  loss: 0.009786, mae: 2.055746, mean_q: 2.474890, mean_eps: 0.730376
 1349349/6000000: episode: 1924, duration: 18.806s, episode steps: 886, steps per second:  47, episode reward: 22.000, mean reward:  0.025 [ 0.000,  1.000], mean action: 2.533 [0.000, 5.000],  loss: 0.011027, mae: 2.039169, mean_q: 2.457364, mean_eps: 0.730219
 1349853/6000000: episode: 1925, duration: 11.366s, episode steps: 504, steps per second:  44, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.655 [0.000, 5.000],  loss: 0.010768, mae: 2.050923, mean_q: 2.471261, mean_eps: 0.730080
 1350577/6000000: episode: 1926, duration: 17.418s, episode steps: 724, steps per second:  42, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.398 [0.000, 5.000],  loss: 0.012287, mae: 2.035598, mean_q: 2.451888, mean_eps: 0.729957
 1351415/6000000: episode: 1927, duration: 19.112s, episode steps: 838, steps per second:  44, episode reward: 22.000, mean reward:  0.026 [ 0.000,  1.000], mean action: 2.548 [0.000, 5.000],  loss: 0.010910, mae: 2.018300, mean_q: 2.431242, mean_eps: 0.729801
 1352001/6000000: episode: 1928, duration: 13.026s, episode steps: 586, steps per second:  45, episode reward: 11.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.512 [0.000, 5.000],  loss: 0.009852, mae: 2.027761, mean_q: 2.442552, mean_eps: 0.729658
 1352522/6000000: episode: 1929, duration: 11.591s, episode steps: 521, steps per second:  45, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.722 [0.000, 5.000],  loss: 0.010209, mae: 2.044079, mean_q: 2.460522, mean_eps: 0.729548
 1353240/6000000: episode: 1930, duration: 16.385s, episode steps: 718, steps per second:  44, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.464 [0.000, 5.000],  loss: 0.012882, mae: 2.041670, mean_q: 2.456671, mean_eps: 0.729424
 1353937/6000000: episode: 1931, duration: 14.734s, episode steps: 697, steps per second:  47, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.433 [0.000, 5.000],  loss: 0.011305, mae: 2.063564, mean_q: 2.484948, mean_eps: 0.729282
 1354633/6000000: episode: 1932, duration: 14.123s, episode steps: 696, steps per second:  49, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.573 [0.000, 5.000],  loss: 0.011407, mae: 2.047323, mean_q: 2.464802, mean_eps: 0.729143
 1355288/6000000: episode: 1933, duration: 13.567s, episode steps: 655, steps per second:  48, episode reward: 12.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.383 [0.000, 5.000],  loss: 0.009424, mae: 2.062538, mean_q: 2.484656, mean_eps: 0.729008
 1356193/6000000: episode: 1934, duration: 19.253s, episode steps: 905, steps per second:  47, episode reward: 15.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.357 [0.000, 5.000],  loss: 0.012263, mae: 2.079794, mean_q: 2.504383, mean_eps: 0.728852
 1357290/6000000: episode: 1935, duration: 22.412s, episode steps: 1097, steps per second:  49, episode reward: 21.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.552 [0.000, 5.000],  loss: 0.011224, mae: 2.082510, mean_q: 2.508069, mean_eps: 0.728652
 1358091/6000000: episode: 1936, duration: 16.947s, episode steps: 801, steps per second:  47, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.509 [0.000, 5.000],  loss: 0.012870, mae: 2.080735, mean_q: 2.505842, mean_eps: 0.728462
 1358802/6000000: episode: 1937, duration: 14.572s, episode steps: 711, steps per second:  49, episode reward: 13.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.376 [0.000, 5.000],  loss: 0.011675, mae: 2.079829, mean_q: 2.504642, mean_eps: 0.728311
 1359860/6000000: episode: 1938, duration: 22.867s, episode steps: 1058, steps per second:  46, episode reward: 21.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.432 [0.000, 5.000],  loss: 0.012643, mae: 2.086230, mean_q: 2.511001, mean_eps: 0.728134
 1360497/6000000: episode: 1939, duration: 14.092s, episode steps: 637, steps per second:  45, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.265 [0.000, 5.000],  loss: 0.011503, mae: 2.092721, mean_q: 2.520103, mean_eps: 0.727964
 1361105/6000000: episode: 1940, duration: 16.208s, episode steps: 608, steps per second:  38, episode reward: 12.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.304 [0.000, 5.000],  loss: 0.008832, mae: 2.079170, mean_q: 2.504366, mean_eps: 0.727840
 1361646/6000000: episode: 1941, duration: 15.035s, episode steps: 541, steps per second:  36, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.658 [0.000, 5.000],  loss: 0.012025, mae: 2.076039, mean_q: 2.500165, mean_eps: 0.727725
 1362599/6000000: episode: 1942, duration: 22.347s, episode steps: 953, steps per second:  43, episode reward: 15.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.631 [0.000, 5.000],  loss: 0.013680, mae: 2.092437, mean_q: 2.521163, mean_eps: 0.727576
 1363287/6000000: episode: 1943, duration: 15.781s, episode steps: 688, steps per second:  44, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.455 [0.000, 5.000],  loss: 0.012335, mae: 2.095448, mean_q: 2.524060, mean_eps: 0.727412
 1364001/6000000: episode: 1944, duration: 17.111s, episode steps: 714, steps per second:  42, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.507 [0.000, 5.000],  loss: 0.011971, mae: 2.096830, mean_q: 2.524609, mean_eps: 0.727271
 1364508/6000000: episode: 1945, duration: 11.775s, episode steps: 507, steps per second:  43, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.312 [0.000, 5.000],  loss: 0.011752, mae: 2.097773, mean_q: 2.527244, mean_eps: 0.727149
 1364902/6000000: episode: 1946, duration: 8.663s, episode steps: 394, steps per second:  45, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.490 [0.000, 5.000],  loss: 0.012097, mae: 2.093230, mean_q: 2.521273, mean_eps: 0.727059
 1365433/6000000: episode: 1947, duration: 12.323s, episode steps: 531, steps per second:  43, episode reward: 11.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.373 [0.000, 5.000],  loss: 0.012688, mae: 2.057859, mean_q: 2.477487, mean_eps: 0.726966
 1366253/6000000: episode: 1948, duration: 18.603s, episode steps: 820, steps per second:  44, episode reward: 18.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.585 [0.000, 5.000],  loss: 0.011058, mae: 2.025352, mean_q: 2.440680, mean_eps: 0.726831
 1366929/6000000: episode: 1949, duration: 15.316s, episode steps: 676, steps per second:  44, episode reward: 12.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.491 [0.000, 5.000],  loss: 0.009604, mae: 2.029399, mean_q: 2.446394, mean_eps: 0.726682
 1367461/6000000: episode: 1950, duration: 12.188s, episode steps: 532, steps per second:  44, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.335 [0.000, 5.000],  loss: 0.013639, mae: 2.040508, mean_q: 2.456532, mean_eps: 0.726561
 1368070/6000000: episode: 1951, duration: 13.659s, episode steps: 609, steps per second:  45, episode reward: 11.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.122 [0.000, 5.000],  loss: 0.012595, mae: 2.046947, mean_q: 2.466008, mean_eps: 0.726447
 1368729/6000000: episode: 1952, duration: 13.948s, episode steps: 659, steps per second:  47, episode reward: 12.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.417 [0.000, 5.000],  loss: 0.013525, mae: 2.031625, mean_q: 2.446252, mean_eps: 0.726320
 1369489/6000000: episode: 1953, duration: 16.629s, episode steps: 760, steps per second:  46, episode reward:  9.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.429 [0.000, 5.000],  loss: 0.012532, mae: 2.055071, mean_q: 2.473819, mean_eps: 0.726178
 1370003/6000000: episode: 1954, duration: 10.642s, episode steps: 514, steps per second:  48, episode reward: 12.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.144 [0.000, 5.000],  loss: 0.013789, mae: 2.039794, mean_q: 2.459352, mean_eps: 0.726051
 1370571/6000000: episode: 1955, duration: 11.261s, episode steps: 568, steps per second:  50, episode reward: 11.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.419 [0.000, 5.000],  loss: 0.010446, mae: 2.041364, mean_q: 2.456761, mean_eps: 0.725943
 1371228/6000000: episode: 1956, duration: 13.706s, episode steps: 657, steps per second:  48, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.702 [0.000, 5.000],  loss: 0.011610, mae: 2.052857, mean_q: 2.471324, mean_eps: 0.725820
 1371939/6000000: episode: 1957, duration: 15.883s, episode steps: 711, steps per second:  45, episode reward: 15.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.481 [0.000, 5.000],  loss: 0.010533, mae: 2.043001, mean_q: 2.460017, mean_eps: 0.725684
 1372674/6000000: episode: 1958, duration: 16.177s, episode steps: 735, steps per second:  45, episode reward: 12.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.589 [0.000, 5.000],  loss: 0.012223, mae: 2.058866, mean_q: 2.478398, mean_eps: 0.725539
