Training for 1200000 steps ...
c:\Users\jgilg\anaconda3\envs\miar_rl\lib\site-packages\tensorflow\python\keras\engine\training.py:2424: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
     420/1200000: episode: 1, duration: 1.941s, episode steps: 420, steps per second: 216, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  170179/1200000: episode: 249, duration: 8.047s, episode steps: 399, steps per second:  50, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.404 [0.000, 5.000],  loss: 0.008157, mae: 0.405923, mean_q: 0.503849, mean_eps: 0.745033
  170697/1200000: episode: 250, duration: 10.223s, episode steps: 518, steps per second:  51, episode reward:  8.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.811 [0.000, 5.000],  loss: 0.009617, mae: 0.428410, mean_q: 0.532766, mean_eps: 0.744343
  171093/1200000: episode: 251, duration: 7.331s, episode steps: 396, steps per second:  54, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.009220, mae: 0.418070, mean_q: 0.517932, mean_eps: 0.743656
  171605/1200000: episode: 252, duration: 9.580s, episode steps: 512, steps per second:  53, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.516 [0.000, 5.000],  loss: 0.008775, mae: 0.423619, mean_q: 0.525364, mean_eps: 0.742975
  172167/1200000: episode: 253, duration: 10.384s, episode steps: 562, steps per second:  54, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.374 [0.000, 5.000],  loss: 0.008830, mae: 0.425741, mean_q: 0.527152, mean_eps: 0.742171
  172646/1200000: episode: 254, duration: 8.563s, episode steps: 479, steps per second:  56, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.509 [0.000, 5.000],  loss: 0.007474, mae: 0.407833, mean_q: 0.502629, mean_eps: 0.741391
  173392/1200000: episode: 255, duration: 13.283s, episode steps: 746, steps per second:  56, episode reward: 12.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.450 [0.000, 5.000],  loss: 0.008653, mae: 0.423645, mean_q: 0.523236, mean_eps: 0.740473
  174436/1200000: episode: 256, duration: 18.430s, episode steps: 1044, steps per second:  57, episode reward: 20.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.365 [0.000, 5.000],  loss: 0.007888, mae: 0.421947, mean_q: 0.521739, mean_eps: 0.739132
  175056/1200000: episode: 257, duration: 12.221s, episode steps: 620, steps per second:  51, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.308 [0.000, 5.000],  loss: 0.008803, mae: 0.431926, mean_q: 0.534989, mean_eps: 0.737884
  175740/1200000: episode: 258, duration: 14.014s, episode steps: 684, steps per second:  49, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.784 [0.000, 5.000],  loss: 0.008941, mae: 0.414509, mean_q: 0.513887, mean_eps: 0.736906
  176958/1200000: episode: 259, duration: 24.235s, episode steps: 1218, steps per second:  50, episode reward: 18.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.582 [0.000, 5.000],  loss: 0.009077, mae: 0.429768, mean_q: 0.533194, mean_eps: 0.735478
  177447/1200000: episode: 260, duration: 9.547s, episode steps: 489, steps per second:  51, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.597 [0.000, 5.000],  loss: 0.007670, mae: 0.420385, mean_q: 0.520332, mean_eps: 0.734197
  178095/1200000: episode: 261, duration: 12.169s, episode steps: 648, steps per second:  53, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.355 [0.000, 5.000],  loss: 0.008547, mae: 0.425752, mean_q: 0.527969, mean_eps: 0.733345
  178937/1200000: episode: 262, duration: 16.056s, episode steps: 842, steps per second:  52, episode reward: 14.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.588 [0.000, 5.000],  loss: 0.007825, mae: 0.426172, mean_q: 0.528351, mean_eps: 0.732226
  179306/1200000: episode: 263, duration: 7.368s, episode steps: 369, steps per second:  50, episode reward:  8.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.499 [0.000, 5.000],  loss: 0.007329, mae: 0.418198, mean_q: 0.517881, mean_eps: 0.731317
  179696/1200000: episode: 264, duration: 7.643s, episode steps: 390, steps per second:  51, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.595 [0.000, 5.000],  loss: 0.008340, mae: 0.421160, mean_q: 0.522423, mean_eps: 0.730750
  180080/1200000: episode: 265, duration: 7.185s, episode steps: 384, steps per second:  53, episode reward:  3.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.357 [0.000, 5.000],  loss: 0.009153, mae: 0.438243, mean_q: 0.542597, mean_eps: 0.730171
  180459/1200000: episode: 266, duration: 7.497s, episode steps: 379, steps per second:  51, episode reward:  8.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.760 [0.000, 5.000],  loss: 0.009164, mae: 0.470200, mean_q: 0.581201, mean_eps: 0.729598
  181308/1200000: episode: 267, duration: 15.870s, episode steps: 849, steps per second:  53, episode reward:  8.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.395 [0.000, 5.000],  loss: 0.008865, mae: 0.475184, mean_q: 0.586496, mean_eps: 0.728677
  181831/1200000: episode: 268, duration: 9.541s, episode steps: 523, steps per second:  55, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.086 [0.000, 5.000],  loss: 0.009593, mae: 0.470376, mean_q: 0.581420, mean_eps: 0.727648
  182310/1200000: episode: 269, duration: 8.531s, episode steps: 479, steps per second:  56, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.305 [0.000, 5.000],  loss: 0.008787, mae: 0.466869, mean_q: 0.579735, mean_eps: 0.726895
  182741/1200000: episode: 270, duration: 8.312s, episode steps: 431, steps per second:  52, episode reward:  2.000, mean reward:  0.005 [ 0.000,  1.000], mean action: 2.385 [0.000, 5.000],  loss: 0.009014, mae: 0.471488, mean_q: 0.580788, mean_eps: 0.726211
  183645/1200000: episode: 271, duration: 17.966s, episode steps: 904, steps per second:  50, episode reward: 10.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.298 [0.000, 5.000],  loss: 0.008752, mae: 0.477342, mean_q: 0.587962, mean_eps: 0.725209
  184095/1200000: episode: 272, duration: 8.501s, episode steps: 450, steps per second:  53, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.647 [0.000, 5.000],  loss: 0.007357, mae: 0.476481, mean_q: 0.587114, mean_eps: 0.724195
  184728/1200000: episode: 273, duration: 12.201s, episode steps: 633, steps per second:  52, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.442 [0.000, 5.000],  loss: 0.009272, mae: 0.475242, mean_q: 0.585560, mean_eps: 0.723385
  185126/1200000: episode: 274, duration: 7.061s, episode steps: 398, steps per second:  56, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.399 [0.000, 5.000],  loss: 0.008147, mae: 0.472060, mean_q: 0.582898, mean_eps: 0.722611
  185792/1200000: episode: 275, duration: 11.950s, episode steps: 666, steps per second:  56, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.527 [0.000, 5.000],  loss: 0.007733, mae: 0.466965, mean_q: 0.577173, mean_eps: 0.721813
  186177/1200000: episode: 276, duration: 7.948s, episode steps: 385, steps per second:  48, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.457 [0.000, 5.000],  loss: 0.008104, mae: 0.467847, mean_q: 0.575822, mean_eps: 0.721024
  186670/1200000: episode: 277, duration: 9.503s, episode steps: 493, steps per second:  52, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.566 [0.000, 5.000],  loss: 0.009300, mae: 0.479753, mean_q: 0.588678, mean_eps: 0.720364
  187310/1200000: episode: 278, duration: 11.981s, episode steps: 640, steps per second:  53, episode reward: 12.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.505 [0.000, 5.000],  loss: 0.008500, mae: 0.466703, mean_q: 0.575124, mean_eps: 0.719515
  188002/1200000: episode: 279, duration: 11.961s, episode steps: 692, steps per second:  58, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.383 [0.000, 5.000],  loss: 0.009016, mae: 0.478554, mean_q: 0.590937, mean_eps: 0.718516
  188740/1200000: episode: 280, duration: 12.537s, episode steps: 738, steps per second:  59, episode reward: 12.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.710 [0.000, 5.000],  loss: 0.008327, mae: 0.475019, mean_q: 0.586926, mean_eps: 0.717445
  189120/1200000: episode: 281, duration: 7.291s, episode steps: 380, steps per second:  52, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.379 [0.000, 5.000],  loss: 0.007331, mae: 0.476324, mean_q: 0.587243, mean_eps: 0.716608
  189565/1200000: episode: 282, duration: 9.233s, episode steps: 445, steps per second:  48, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.315 [0.000, 5.000],  loss: 0.008142, mae: 0.474273, mean_q: 0.584821, mean_eps: 0.715987
  189990/1200000: episode: 283, duration: 8.474s, episode steps: 425, steps per second:  50, episode reward:  4.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.271 [0.000, 5.000],  loss: 0.008053, mae: 0.461723, mean_q: 0.568306, mean_eps: 0.715333
  190444/1200000: episode: 284, duration: 8.773s, episode steps: 454, steps per second:  52, episode reward:  8.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.361 [0.000, 5.000],  loss: 0.007405, mae: 0.497908, mean_q: 0.613945, mean_eps: 0.714676
  191855/1200000: episode: 285, duration: 24.225s, episode steps: 1411, steps per second:  58, episode reward: 24.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.009282, mae: 0.511559, mean_q: 0.631287, mean_eps: 0.713278
  192351/1200000: episode: 286, duration: 8.276s, episode steps: 496, steps per second:  60, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.405 [0.000, 5.000],  loss: 0.010239, mae: 0.508754, mean_q: 0.625335, mean_eps: 0.711847
  192751/1200000: episode: 287, duration: 7.121s, episode steps: 400, steps per second:  56, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.292 [0.000, 5.000],  loss: 0.010510, mae: 0.510478, mean_q: 0.628609, mean_eps: 0.711175
  193846/1200000: episode: 288, duration: 19.005s, episode steps: 1095, steps per second:  58, episode reward: 12.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.009338, mae: 0.512473, mean_q: 0.632225, mean_eps: 0.710053
  194643/1200000: episode: 289, duration: 14.167s, episode steps: 797, steps per second:  56, episode reward: 13.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.502 [0.000, 5.000],  loss: 0.009170, mae: 0.520147, mean_q: 0.641755, mean_eps: 0.708634
  195535/1200000: episode: 290, duration: 15.965s, episode steps: 892, steps per second:  56, episode reward: 13.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.393 [0.000, 5.000],  loss: 0.007642, mae: 0.505758, mean_q: 0.624363, mean_eps: 0.707368
  196145/1200000: episode: 291, duration: 12.128s, episode steps: 610, steps per second:  50, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.430 [0.000, 5.000],  loss: 0.008369, mae: 0.516357, mean_q: 0.636338, mean_eps: 0.706240
  197154/1200000: episode: 292, duration: 20.266s, episode steps: 1009, steps per second:  50, episode reward: 20.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.391 [0.000, 5.000],  loss: 0.010583, mae: 0.505692, mean_q: 0.622498, mean_eps: 0.705025
  197658/1200000: episode: 293, duration: 9.411s, episode steps: 504, steps per second:  54, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.871 [0.000, 5.000],  loss: 0.009459, mae: 0.509748, mean_q: 0.628466, mean_eps: 0.703891
  198595/1200000: episode: 294, duration: 17.086s, episode steps: 937, steps per second:  55, episode reward: 19.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.380 [0.000, 5.000],  loss: 0.008983, mae: 0.515511, mean_q: 0.634163, mean_eps: 0.702811
  199567/1200000: episode: 295, duration: 18.847s, episode steps: 972, steps per second:  52, episode reward: 19.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.320 [0.000, 5.000],  loss: 0.008501, mae: 0.507804, mean_q: 0.624153, mean_eps: 0.701380
  199911/1200000: episode: 296, duration: 6.431s, episode steps: 344, steps per second:  53, episode reward:  4.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.642 [0.000, 5.000],  loss: 0.008528, mae: 0.512445, mean_q: 0.630053, mean_eps: 0.700393
  200284/1200000: episode: 297, duration: 7.811s, episode steps: 373, steps per second:  48, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.378 [0.000, 5.000],  loss: 0.009539, mae: 0.538816, mean_q: 0.662798, mean_eps: 0.699856
  200922/1200000: episode: 298, duration: 12.233s, episode steps: 638, steps per second:  52, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.340 [0.000, 5.000],  loss: 0.008799, mae: 0.547323, mean_q: 0.672716, mean_eps: 0.699097
  201785/1200000: episode: 299, duration: 15.503s, episode steps: 863, steps per second:  56, episode reward: 13.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.642 [0.000, 5.000],  loss: 0.010184, mae: 0.556637, mean_q: 0.683843, mean_eps: 0.697969
  202327/1200000: episode: 300, duration: 12.050s, episode steps: 542, steps per second:  45, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.738 [0.000, 5.000],  loss: 0.008890, mae: 0.556708, mean_q: 0.685899, mean_eps: 0.696916
  202805/1200000: episode: 301, duration: 11.516s, episode steps: 478, steps per second:  42, episode reward:  8.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.477 [0.000, 5.000],  loss: 0.010547, mae: 0.554500, mean_q: 0.685164, mean_eps: 0.696151
  203942/1200000: episode: 302, duration: 22.048s, episode steps: 1137, steps per second:  52, episode reward: 14.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.490 [0.000, 5.000],  loss: 0.009069, mae: 0.548377, mean_q: 0.675735, mean_eps: 0.694939
  204573/1200000: episode: 303, duration: 12.468s, episode steps: 631, steps per second:  51, episode reward: 12.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.590 [0.000, 5.000],  loss: 0.009668, mae: 0.549101, mean_q: 0.674821, mean_eps: 0.693613
  205076/1200000: episode: 304, duration: 10.937s, episode steps: 503, steps per second:  46, episode reward: 11.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.437 [0.000, 5.000],  loss: 0.008915, mae: 0.556720, mean_q: 0.686600, mean_eps: 0.692764
  205478/1200000: episode: 305, duration: 8.629s, episode steps: 402, steps per second:  47, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.478 [0.000, 5.000],  loss: 0.009741, mae: 0.555497, mean_q: 0.687003, mean_eps: 0.692086
  206330/1200000: episode: 306, duration: 16.892s, episode steps: 852, steps per second:  50, episode reward: 15.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.566 [0.000, 5.000],  loss: 0.008792, mae: 0.551250, mean_q: 0.680479, mean_eps: 0.691144
  206725/1200000: episode: 307, duration: 7.297s, episode steps: 395, steps per second:  54, episode reward:  8.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.582 [0.000, 5.000],  loss: 0.009767, mae: 0.543338, mean_q: 0.670352, mean_eps: 0.690208
  207324/1200000: episode: 308, duration: 10.737s, episode steps: 599, steps per second:  56, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.601 [0.000, 5.000],  loss: 0.009544, mae: 0.552709, mean_q: 0.681335, mean_eps: 0.689464
  208479/1200000: episode: 309, duration: 22.014s, episode steps: 1155, steps per second:  52, episode reward: 18.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.335 [0.000, 5.000],  loss: 0.009381, mae: 0.550266, mean_q: 0.678116, mean_eps: 0.688150
  209002/1200000: episode: 310, duration: 10.503s, episode steps: 523, steps per second:  50, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.009953, mae: 0.550505, mean_q: 0.677202, mean_eps: 0.686890
  209505/1200000: episode: 311, duration: 9.488s, episode steps: 503, steps per second:  53, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.602 [0.000, 5.000],  loss: 0.009543, mae: 0.542725, mean_q: 0.666323, mean_eps: 0.686119
  210035/1200000: episode: 312, duration: 9.429s, episode steps: 530, steps per second:  56, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.485 [0.000, 5.000],  loss: 0.008488, mae: 0.556763, mean_q: 0.683342, mean_eps: 0.685345
  210819/1200000: episode: 313, duration: 13.876s, episode steps: 784, steps per second:  56, episode reward: 13.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.531 [0.000, 5.000],  loss: 0.008620, mae: 0.562589, mean_q: 0.690853, mean_eps: 0.684361
  211537/1200000: episode: 314, duration: 13.531s, episode steps: 718, steps per second:  53, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.368 [0.000, 5.000],  loss: 0.008781, mae: 0.556656, mean_q: 0.683231, mean_eps: 0.683233
  211938/1200000: episode: 315, duration: 7.586s, episode steps: 401, steps per second:  53, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.466 [0.000, 5.000],  loss: 0.010577, mae: 0.567346, mean_q: 0.696073, mean_eps: 0.682393
  212320/1200000: episode: 316, duration: 7.423s, episode steps: 382, steps per second:  51, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.796 [0.000, 5.000],  loss: 0.009575, mae: 0.552312, mean_q: 0.677548, mean_eps: 0.681808
  212932/1200000: episode: 317, duration: 10.578s, episode steps: 612, steps per second:  58, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.708 [0.000, 5.000],  loss: 0.008891, mae: 0.556351, mean_q: 0.685228, mean_eps: 0.681064
  213469/1200000: episode: 318, duration: 9.574s, episode steps: 537, steps per second:  56, episode reward: 11.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.250 [0.000, 5.000],  loss: 0.009574, mae: 0.558192, mean_q: 0.687273, mean_eps: 0.680200
  214061/1200000: episode: 319, duration: 11.026s, episode steps: 592, steps per second:  54, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.194 [0.000, 5.000],  loss: 0.009017, mae: 0.546497, mean_q: 0.674679, mean_eps: 0.679351
  214745/1200000: episode: 320, duration: 13.186s, episode steps: 684, steps per second:  52, episode reward: 15.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.278 [0.000, 5.000],  loss: 0.009762, mae: 0.558780, mean_q: 0.688593, mean_eps: 0.678394
  215104/1200000: episode: 321, duration: 7.589s, episode steps: 359, steps per second:  47, episode reward:  6.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.256 [0.000, 5.000],  loss: 0.009600, mae: 0.561506, mean_q: 0.692623, mean_eps: 0.677614
  215730/1200000: episode: 322, duration: 13.556s, episode steps: 626, steps per second:  46, episode reward: 14.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.233 [0.000, 5.000],  loss: 0.009598, mae: 0.550619, mean_q: 0.677602, mean_eps: 0.676876
  216841/1200000: episode: 323, duration: 20.417s, episode steps: 1111, steps per second:  54, episode reward: 17.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.481 [0.000, 5.000],  loss: 0.009944, mae: 0.559167, mean_q: 0.688950, mean_eps: 0.675571
  217834/1200000: episode: 324, duration: 19.053s, episode steps: 993, steps per second:  52, episode reward: 17.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.301 [0.000, 5.000],  loss: 0.009786, mae: 0.564329, mean_q: 0.695732, mean_eps: 0.673993
  218576/1200000: episode: 325, duration: 14.680s, episode steps: 742, steps per second:  51, episode reward: 17.000, mean reward:  0.023 [ 0.000,  1.000], mean action: 2.334 [0.000, 5.000],  loss: 0.009415, mae: 0.543171, mean_q: 0.668146, mean_eps: 0.672694
  219111/1200000: episode: 326, duration: 9.864s, episode steps: 535, steps per second:  54, episode reward: 11.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.361 [0.000, 5.000],  loss: 0.008909, mae: 0.546773, mean_q: 0.673228, mean_eps: 0.671737
  219764/1200000: episode: 327, duration: 12.143s, episode steps: 653, steps per second:  54, episode reward: 13.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.489 [0.000, 5.000],  loss: 0.010299, mae: 0.571395, mean_q: 0.704008, mean_eps: 0.670846
  220409/1200000: episode: 328, duration: 11.712s, episode steps: 645, steps per second:  55, episode reward: 11.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.172 [0.000, 5.000],  loss: 0.008941, mae: 0.564409, mean_q: 0.695182, mean_eps: 0.669871
  221074/1200000: episode: 329, duration: 13.506s, episode steps: 665, steps per second:  49, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.353 [0.000, 5.000],  loss: 0.010821, mae: 0.579981, mean_q: 0.711968, mean_eps: 0.668887
  221688/1200000: episode: 330, duration: 12.701s, episode steps: 614, steps per second:  48, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.008176, mae: 0.580268, mean_q: 0.714050, mean_eps: 0.667930
  222416/1200000: episode: 331, duration: 14.781s, episode steps: 728, steps per second:  49, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.243 [0.000, 5.000],  loss: 0.011104, mae: 0.582777, mean_q: 0.715208, mean_eps: 0.666925
  222956/1200000: episode: 332, duration: 10.787s, episode steps: 540, steps per second:  50, episode reward:  8.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.156 [0.000, 5.000],  loss: 0.010323, mae: 0.584952, mean_q: 0.719052, mean_eps: 0.665974
  223938/1200000: episode: 333, duration: 19.314s, episode steps: 982, steps per second:  51, episode reward: 18.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.239 [0.000, 5.000],  loss: 0.009055, mae: 0.581061, mean_q: 0.714320, mean_eps: 0.664831
  224592/1200000: episode: 334, duration: 13.000s, episode steps: 654, steps per second:  50, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.612 [0.000, 5.000],  loss: 0.009078, mae: 0.586366, mean_q: 0.720841, mean_eps: 0.663604
  225514/1200000: episode: 335, duration: 16.501s, episode steps: 922, steps per second:  56, episode reward: 22.000, mean reward:  0.024 [ 0.000,  1.000], mean action: 2.318 [0.000, 5.000],  loss: 0.010045, mae: 0.575622, mean_q: 0.707475, mean_eps: 0.662422
  226227/1200000: episode: 336, duration: 12.814s, episode steps: 713, steps per second:  56, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.339 [0.000, 5.000],  loss: 0.009772, mae: 0.587651, mean_q: 0.722816, mean_eps: 0.661195
  226684/1200000: episode: 337, duration: 8.118s, episode steps: 457, steps per second:  56, episode reward:  8.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.322 [0.000, 5.000],  loss: 0.010817, mae: 0.583415, mean_q: 0.717525, mean_eps: 0.660319
  227636/1200000: episode: 338, duration: 19.373s, episode steps: 952, steps per second:  49, episode reward: 14.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.454 [0.000, 5.000],  loss: 0.009270, mae: 0.578612, mean_q: 0.711112, mean_eps: 0.659263
  228144/1200000: episode: 339, duration: 10.094s, episode steps: 508, steps per second:  50, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.150 [0.000, 5.000],  loss: 0.008549, mae: 0.579798, mean_q: 0.713452, mean_eps: 0.658168
  228668/1200000: episode: 340, duration: 9.466s, episode steps: 524, steps per second:  55, episode reward: 11.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.645 [0.000, 5.000],  loss: 0.008907, mae: 0.589704, mean_q: 0.725653, mean_eps: 0.657394
  229308/1200000: episode: 341, duration: 11.661s, episode steps: 640, steps per second:  55, episode reward: 12.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.461 [0.000, 5.000],  loss: 0.010220, mae: 0.579382, mean_q: 0.709496, mean_eps: 0.656521
  230027/1200000: episode: 342, duration: 13.522s, episode steps: 719, steps per second:  53, episode reward: 15.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.178 [0.000, 5.000],  loss: 0.009666, mae: 0.590801, mean_q: 0.724748, mean_eps: 0.655501
  230535/1200000: episode: 343, duration: 10.619s, episode steps: 508, steps per second:  48, episode reward:  3.000, mean reward:  0.006 [ 0.000,  1.000], mean action: 2.281 [0.000, 5.000],  loss: 0.009609, mae: 0.633556, mean_q: 0.776524, mean_eps: 0.654580
  231033/1200000: episode: 344, duration: 10.162s, episode steps: 498, steps per second:  49, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.480 [0.000, 5.000],  loss: 0.009884, mae: 0.620372, mean_q: 0.760958, mean_eps: 0.653824
  231729/1200000: episode: 345, duration: 13.823s, episode steps: 696, steps per second:  50, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.399 [0.000, 5.000],  loss: 0.009560, mae: 0.637461, mean_q: 0.780622, mean_eps: 0.652927
  232241/1200000: episode: 346, duration: 10.094s, episode steps: 512, steps per second:  51, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.180 [0.000, 5.000],  loss: 0.010611, mae: 0.640200, mean_q: 0.785149, mean_eps: 0.652021
  233179/1200000: episode: 347, duration: 20.213s, episode steps: 938, steps per second:  46, episode reward: 17.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.408 [0.000, 5.000],  loss: 0.010078, mae: 0.639566, mean_q: 0.784782, mean_eps: 0.650935
  234353/1200000: episode: 348, duration: 26.416s, episode steps: 1174, steps per second:  44, episode reward: 25.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.544 [0.000, 5.000],  loss: 0.010897, mae: 0.644892, mean_q: 0.789843, mean_eps: 0.649351
  235246/1200000: episode: 349, duration: 19.840s, episode steps: 893, steps per second:  45, episode reward: 15.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.582 [0.000, 5.000],  loss: 0.011808, mae: 0.640965, mean_q: 0.785116, mean_eps: 0.647800
  235778/1200000: episode: 350, duration: 11.379s, episode steps: 532, steps per second:  47, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.462 [0.000, 5.000],  loss: 0.012487, mae: 0.638133, mean_q: 0.782464, mean_eps: 0.646732
  236314/1200000: episode: 351, duration: 11.397s, episode steps: 536, steps per second:  47, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.325 [0.000, 5.000],  loss: 0.010811, mae: 0.635568, mean_q: 0.778084, mean_eps: 0.645931
